val_accuracy,float_val_accuracy,best_val_accuracy,phase,train_accuracy,train_loss,lr,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.5397727272727273,0.5397727272727273,0.5397727272727273,float,0.3800403225806452,2.1520649310081237,0.000804502532202368,0,1787890147,,False,1,d32b905f,2026-08-27_21-09-07,19.691105842590332,19.691105842590332,2148178,kilby,169.228.33.68,19.691105842590332,1
0.5454545454545454,0.5454545454545454,0.5454545454545454,float,0.5564516129032258,1.8665599630724998,0.0014078794313541441,1,1787890160,,False,2,d32b905f,2026-08-27_21-09-20,12.447772026062012,32.138877868652344,2148178,kilby,169.228.33.68,32.138877868652344,2
0.5965909090909091,0.5965909090909091,0.5965909090909091,float,0.6270161290322581,1.8156620937009011,0.0020112563305059203,2,1787890171,,False,3,d32b905f,2026-08-27_21-09-31,10.814091920852661,42.952969789505005,2148178,kilby,169.228.33.68,42.952969789505005,3
0.5511363636363636,0.5511363636363636,0.5965909090909091,float,0.688508064516129,1.7703563955522352,0.0020112563305059203,3,1787890183,,False,4,d32b905f,2026-08-27_21-09-43,12.292338371276855,55.24530816078186,2148178,kilby,169.228.33.68,55.24530816078186,4
0.5738636363636364,0.5738636363636364,0.5965909090909091,float,0.7560483870967742,1.7374532549611983,0.0020112563305059203,4,1787890196,,False,5,d32b905f,2026-08-27_21-09-56,12.762835264205933,68.0081434249878,2148178,kilby,169.228.33.68,68.0081434249878,5
0.6420454545454546,0.6420454545454546,0.6420454545454546,float,0.7701612903225806,1.7253428274585354,0.0020112563305059203,5,1787890209,,False,6,d32b905f,2026-08-27_21-10-09,13.229100942611694,81.23724436759949,2148178,kilby,169.228.33.68,81.23724436759949,6
0.5852272727272727,0.5852272727272727,0.6420454545454546,float,0.780241935483871,1.7119585275650024,0.0020112563305059203,6,1787890222,,False,7,d32b905f,2026-08-27_21-10-22,13.030048131942749,94.26729249954224,2148178,kilby,169.228.33.68,94.26729249954224,7
0.7102272727272727,0.7102272727272727,0.7102272727272727,float,0.8205645161290323,1.6925300648135524,0.0020112563305059203,7,1787890234,,False,8,d32b905f,2026-08-27_21-10-34,12.625065565109253,106.89235806465149,2148178,kilby,169.228.33.68,106.89235806465149,8
0.7215909090909091,0.7215909090909091,0.7215909090909091,float,0.8276209677419355,1.6852114565910832,0.0020112563305059203,8,1787890247,,False,9,d32b905f,2026-08-27_21-10-47,12.722195386886597,119.61455345153809,2148178,kilby,169.228.33.68,119.61455345153809,9
0.7215909090909091,0.7215909090909091,0.7215909090909091,float,0.8558467741935484,1.6743745515423436,0.0020112563305059203,9,1787890260,,False,10,d32b905f,2026-08-27_21-11-00,12.812422037124634,132.42697548866272,2148178,kilby,169.228.33.68,132.42697548866272,10
0.6818181818181818,0.6818181818181818,0.6818181818181818,grid,0.8145161290322581,1.693649386205981,0.0010028736970980267,10,1787890274,,False,11,d32b905f,2026-08-27_21-11-14,13.900110483169556,146.32708597183228,2148178,kilby,169.228.33.68,146.32708597183228,11
0.7329545454545454,0.7329545454545454,0.7329545454545454,grid,0.8497983870967742,1.6722177170938062,0.0009946404711627412,11,1787890288,,False,12,d32b905f,2026-08-27_21-11-28,13.895859956741333,160.2229459285736,2148178,kilby,169.228.33.68,160.2229459285736,12
0.75,0.75,0.75,grid,0.8689516129032258,1.6645642961225202,0.000981018692393364,12,1787890302,,False,13,d32b905f,2026-08-27_21-11-42,13.745590448379517,173.96853637695312,2148178,kilby,169.228.33.68,173.96853637695312,13
0.7670454545454546,0.7670454545454546,0.7670454545454546,grid,0.875,1.6615632426354192,0.0009621576038486324,13,1787890316,,False,14,d32b905f,2026-08-27_21-11-56,14.080082654953003,188.04861903190613,2148178,kilby,169.228.33.68,188.04861903190613,14
0.7443181818181818,0.7443181818181818,0.7670454545454546,grid,0.8971774193548387,1.6553119901687867,0.0009382638515615798,14,1787890330,,False,15,d32b905f,2026-08-27_21-12-10,13.869089365005493,201.91770839691162,2148178,kilby,169.228.33.68,201.91770839691162,15
0.7443181818181818,0.7443181818181818,0.7670454545454546,grid,0.8951612903225806,1.649879886258033,0.0009095992204823516,15,1787890343,,False,16,d32b905f,2026-08-27_21-12-23,13.01995301246643,214.93766140937805,2148178,kilby,169.228.33.68,214.93766140937805,16
0.7272727272727273,0.7272727272727273,0.7670454545454546,grid,0.907258064516129,1.6472248473475057,0.0008764777663075119,16,1787890356,,False,17,d32b905f,2026-08-27_21-12-36,13.155665874481201,228.09332728385925,2148178,kilby,169.228.33.68,228.09332728385925,17
0.75,0.75,0.7670454545454546,grid,0.9122983870967742,1.6464572145092873,0.0008392623746201099,17,1787890369,,False,18,d32b905f,2026-08-27_21-12-49,13.616466045379639,241.7097933292389,2148178,kilby,169.228.33.68,241.7097933292389,18
0.7613636363636364,0.7613636363636364,0.7670454545454546,grid,0.9153225806451613,1.6422006295573326,0.0007983607850392942,18,1787890383,,False,19,d32b905f,2026-08-27_21-13-03,13.877755165100098,255.587548494339,2148178,kilby,169.228.33.68,255.587548494339,19
0.7670454545454546,0.7670454545454546,0.7670454545454546,grid,0.9203629032258065,1.6404804395091148,0.0007542211239397203,19,1787890397,,False,20,d32b905f,2026-08-27_21-13-17,13.944132566452026,269.531681060791,2148178,kilby,169.228.33.68,269.531681060791,20
0.7784090909090909,0.7784090909090909,0.7784090909090909,grid,0.9284274193548387,1.6393901032786216,0.0007073269946852129,20,1787890411,,False,21,d32b905f,2026-08-27_21-13-31,14.002563953399658,283.5342450141907,2148178,kilby,169.228.33.68,283.5342450141907,21
0.7613636363636364,0.7613636363636364,0.7784090909090909,grid,0.9243951612903226,1.6365813497574098,0.0006581921791691117,21,1787890425,,False,22,d32b905f,2026-08-27_21-13-45,13.917219400405884,297.45146441459656,2148178,kilby,169.228.33.68,297.45146441459656,22
0.7897727272727273,0.7897727272727273,0.7897727272727273,grid,0.9314516129032258,1.6361329882375655,0.0006073550087123322,22,1787890439,,False,23,d32b905f,2026-08-27_21-13-59,13.410719871520996,310.86218428611755,2148178,kilby,169.228.33.68,310.86218428611755,23
0.7784090909090909,0.7784090909090909,0.7897727272727273,grid,0.938508064516129,1.631635062156185,0.0005553724659927612,23,1787890452,,False,24,d32b905f,2026-08-27_21-14-12,13.032607316970825,323.8947916030884,2148178,kilby,169.228.33.68,323.8947916030884,24
0.7897727272727273,0.7897727272727273,0.7897727272727273,grid,0.9445564516129032,1.6296642403448782,0.0005028140826264804,24,1787890465,,False,25,d32b905f,2026-08-27_21-14-25,13.056361198425293,336.9511528015137,2148178,kilby,169.228.33.68,336.9511528015137,25
0.7784090909090909,0.7784090909090909,0.7897727272727273,grid,0.9395161290322581,1.6283549743313943,0.00045025569926019943,25,1787890478,,False,26,d32b905f,2026-08-27_21-14-38,12.886277198791504,349.8374300003052,2148178,kilby,169.228.33.68,349.8374300003052,26
0.7840909090909091,0.7840909090909091,0.7897727272727273,grid,0.9485887096774194,1.6261162719418925,0.00039827315654062816,26,1787890490,,False,27,d32b905f,2026-08-27_21-14-50,12.630366802215576,362.46779680252075,2148178,kilby,169.228.33.68,362.46779680252075,27
0.7954545454545454,0.7954545454545454,0.7954545454545454,grid,0.9506048387096774,1.6248205111872764,0.0003474359860838489,27,1787890502,,False,28,d32b905f,2026-08-27_21-15-02,12.250317096710205,374.71811389923096,2148178,kilby,169.228.33.68,374.71811389923096,28
0.7954545454545454,0.7954545454545454,0.7954545454545454,grid,0.9445564516129032,1.6240416611394575,0.00029830117056774775,28,1787890515,,False,29,d32b905f,2026-08-27_21-15-15,12.72611141204834,387.4442253112793,2148178,kilby,169.228.33.68,387.4442253112793,29
0.7954545454545454,0.7954545454545454,0.7954545454545454,grid,0.9566532258064516,1.6213115107628606,0.00025140704131324025,29,1787890528,,False,30,d32b905f,2026-08-27_21-15-28,12.489159345626831,399.9333846569061,2148178,kilby,169.228.33.68,399.9333846569061,30
