val_accuracy,float_val_accuracy,best_val_accuracy,phase,train_accuracy,train_loss,lr,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.2897727272727273,0.2897727272727273,0.2897727272727273,float,0.1381048387096774,2.3807725214189097,0.0017918282823500737,0,1787889127,,False,1,644690ee,2026-08-27_20-52-07,39.64882826805115,39.64882826805115,2056648,kilby,169.228.33.68,39.64882826805115,1
0.3977272727272727,0.3977272727272727,0.3977272727272727,float,0.3528225806451613,2.2388129888042325,0.0017918282823500737,1,1787889216,,False,2,644690ee,2026-08-27_20-53-36,89.02385640144348,128.67268466949463,2056648,kilby,169.228.33.68,128.67268466949463,2
0.4772727272727273,0.4772727272727273,0.4772727272727273,float,0.45564516129032256,2.0771580607660356,0.0017918282823500737,2,1787889328,,False,3,644690ee,2026-08-27_20-55-28,112.22428965568542,240.89697432518005,2056648,kilby,169.228.33.68,240.89697432518005,3
0.5340909090909091,0.5340909090909091,0.5340909090909091,float,0.5604838709677419,1.965330881457175,0.0017918282823500737,3,1787889444,,False,4,644690ee,2026-08-27_20-57-24,116.52487134933472,357.42184567451477,2056648,kilby,169.228.33.68,357.42184567451477,4
0.5056818181818182,0.5056818181818182,0.5340909090909091,float,0.6088709677419355,1.9144915919150076,0.0017918282823500737,4,1787889577,,False,5,644690ee,2026-08-27_20-59-37,132.81145763397217,490.23330330848694,2056648,kilby,169.228.33.68,490.23330330848694,5
0.6534090909090909,0.6534090909090909,0.6534090909090909,float,0.6129032258064516,1.9052312566388039,0.0017918282823500737,5,1787889705,,False,6,644690ee,2026-08-27_21-01-45,128.16762042045593,618.4009237289429,2056648,kilby,169.228.33.68,618.4009237289429,6
0.5965909090909091,0.5965909090909091,0.6534090909090909,float,0.626008064516129,1.8914059842786481,0.0017918282823500737,6,1787889819,,False,7,644690ee,2026-08-27_21-03-39,114.14311957359314,732.544043302536,2056648,kilby,169.228.33.68,732.544043302536,7
0.6704545454545454,0.6704545454545454,0.6704545454545454,float,0.6391129032258065,1.8687712703981707,0.0017918282823500737,7,1787889925,,False,8,644690ee,2026-08-27_21-05-25,105.88722252845764,838.4312658309937,2056648,kilby,169.228.33.68,838.4312658309937,8
0.6704545454545454,0.6704545454545454,0.6704545454545454,float,0.6794354838709677,1.8614911821580702,0.0017918282823500737,8,1787890026,,False,9,644690ee,2026-08-27_21-07-06,100.5866711139679,939.0179369449615,2056648,kilby,169.228.33.68,939.0179369449615,9
0.6420454545454546,0.6420454545454546,0.6704545454545454,float,0.686491935483871,1.853494611478621,0.0017918282823500737,9,1787890126,,False,10,644690ee,2026-08-27_21-08-46,100.22676873207092,1039.2447056770325,2056648,kilby,169.228.33.68,1039.2447056770325,10
