trial_id,status,val_accuracy,hw_val_accuracy,float_val_accuracy,quant_gap,deployable,weight_clip_frac,min_threshold,feasible,epochs_run,stopped_early,synops_per_sample,neurons,connections,params,depth,channels,kernel_size,stride,downsample_mode,resize_to,T,tau,trainable_tau,trainable_threshold,fc_layers,final_reduction,dropout_rate,norm,tdbn_alpha,optimizer,lr,weight_decay,scheduler,label_smoothing,grad_clip
ff3a4c37,pruned_before_deploy,,,0.7159090909090909,,,,,,24,False,,,,,2,32,7,2,stride,64,16,16,False,True,1,flatten,0.3416465835720175,bn,,adam,0.000652860702794588,1.8072016278170852e-06,cosine,0.12632223513957958,5.0
5ce2c923,pruned_before_deploy,,,0.7102272727272727,,,,,,24,False,,,,,2,32,7,2,stride,64,8,8,False,True,1,flatten,0.3037490734074164,bn,,adam,0.0006674030752494011,0.0004284019427266427,none,0.02654167790984208,5.0
644690ee,pruned_before_deploy,,,0.6988636363636364,,,,,,24,False,,,,,3,64,5,,pool,64,8,63,True,True,0,flatten,0.2509869832626466,tdbn,0.8777091614189921,adamw,0.0017918282823500737,0.0012877192596963342,none,0.18462397892626065,5.0
5503aee6,pruned_before_deploy,,,0.7102272727272727,,,,,,24,False,,,,,2,32,7,2,stride,64,8,8,False,True,1,flatten,0.25650516559498976,bn,,adam,0.0006677726797585771,0.00041837230370634216,none,0.028576029388955773,5.0
bef452fa,pruned_before_deploy,,,0.7329545454545454,,,,,,24,False,,,,,2,32,7,2,stride,64,8,8,False,True,1,flatten,0.3130492900090597,bn,,adam,0.0006349344817001352,0.0003786943911782452,none,0.12735302465784976,5.0
a01c6dcf,pruned_before_deploy,,,0.4318181818181818,,,,,,8,False,,,,,2,64,5,,pool,32,8,2,False,False,0,flatten,0.17087569282368562,tdbn,0.9846903472977996,adam,0.0023209740864411368,0.00010372129661567067,onecycle,0.18385967025262928,1.0
e2d1cef5,pruned_before_deploy,,,0.7215909090909091,,,,,,24,False,,,,,2,32,7,2,stride,64,8,8,False,True,1,flatten,0.3071770557498747,bn,,adam,0.0006141962623908661,0.00046441302726581715,none,0.028201128793694633,5.0
80d6d9ce,pruned_before_deploy,,,0.625,,,,,,8,False,,,,,2,64,5,,pool,32,8,2,False,False,0,flatten,0.17031119926486993,tdbn,0.6584000770112518,adam,0.002230487820406378,9.754323451875373e-05,onecycle,0.19462601130623883,1.0
a6cfaa0a,pruned_before_deploy,,,0.7556818181818182,,,,,,24,False,,,,,2,32,5,,pool,32,16,2,False,False,0,flatten,0.12350893586806777,tdbn,1.7758326627501324,adam,0.0023740580508245777,8.448434124317025e-05,onecycle,0.15696177545165987,1.0
4db83b06,pruned_before_deploy,,,0.7272727272727273,,,,,,24,False,,,,,3,64,5,,pool,64,16,8,False,False,1,flatten,0.18427393331795866,tdbn,1.591639160807035,adamw,0.0005058017911520518,1.7181445816222277e-05,none,0.03528605253813912,1.0
cf4339fa,deployed,0.8465909090909091,0.8465909090909091,0.7215909090909091,-0.125,True,0.0,0.050000011920928955,,0,False,61963435.3359375,,,,2,32,5,,pool,32,8,2,False,False,0,flatten,0.2774298244137318,bn,,adam,0.002509042385264618,9.038810101077043e-05,onecycle,0.15728964584952856,1.0
6234384a,deployed,0.8352272727272727,0.8352272727272727,0.7045454545454546,-0.13068181818181812,True,0.0,0.050000011920928955,,0,False,41564970.32725695,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.2671505168831203,tdbn,0.9807933330252396,adam,0.00225158838387349,9.189605677659936e-07,step,0.19641483510088914,1.0
e3ea4f7a,deployed,0.8409090909090909,0.8409090909090909,0.7386363636363636,-0.10227272727272729,True,0.0,0.050000011920928955,,0,False,27545951.026041668,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.2634432972965577,tdbn,0.6367127343012449,adam,0.0024501065686845973,1.0548829445658e-06,step,0.19507324484662067,1.0
53702e56,deployed,0.8295454545454546,0.8295454545454546,0.6931818181818182,-0.13636363636363635,True,0.0,0.050000011920928955,,0,False,32438594.506944444,,,,2,64,5,2,stride,32,8,2,False,False,0,flatten,0.1667512307350647,tdbn,0.6811160056920376,adam,0.002342453725075596,3.627317510527007e-07,onecycle,0.18589638346481152,1.0
4a17d5a8,deployed,0.8238636363636364,0.8238636363636364,0.7670454545454546,-0.05681818181818177,True,0.0,0.050000011920928955,,0,False,44098349.89453125,,,,2,32,5,,pool,32,16,2,False,False,0,flatten,0.1213596465424491,tdbn,0.6665557642538515,adamw,0.0027798552686395983,0.007806817276033161,step,0.158653195029695,1.0
d2ad582f,deployed,0.8409090909090909,0.8409090909090909,0.7386363636363636,-0.10227272727272729,True,0.0,0.4465146064758301,,0,False,33131889.961805556,,,,2,64,5,2,stride,32,8,8,False,False,0,flatten,0.15549146515671367,tdbn,0.983122863382662,adam,0.002220106468968829,0.00010649552388485908,onecycle,0.1618675285512579,1.0
d33007fc,deployed,0.8238636363636364,0.8238636363636364,0.7215909090909091,-0.10227272727272729,True,0.0,0.2175734043121338,,0,False,29320846.761284724,,,,2,64,5,2,stride,32,8,8,False,False,0,flatten,0.26283975454336655,tdbn,0.9960359689418921,adam,0.0018498486609972672,4.396880769008072e-05,step,0.1596409288803296,1.0
739a4f29,pruned_before_deploy,,,0.75,,,,,,24,False,,,,,2,64,7,,pool,32,8,2,False,False,0,flatten,0.36719589186576396,tdbn,1.308769368180723,adamw,0.00292877786580002,1.9718414935256056e-05,step,0.03739595522908251,1.0
c2b58d81,deployed,0.8522727272727273,0.8522727272727273,0.7897727272727273,-0.0625,True,0.0,0.050000011920928955,,0,False,45255943.076171875,,,,2,32,5,,pool,32,16,2,False,False,0,flatten,0.1259010997761694,tdbn,0.6575559864004719,adam,0.0027736191580018978,2.0894668461858813e-05,step,0.15584105420394218,1.0
a5cfb5d0,deployed,0.8579545454545454,0.8579545454545454,0.7443181818181818,-0.11363636363636365,True,0.0,0.050000011920928955,,0,False,139600008.25390625,,,,2,64,5,,pool,32,8,2,False,False,0,flatten,0.16970933397826832,tdbn,0.697675949542417,adam,0.0022308658211413557,6.155764187076258e-07,onecycle,0.17786391964635143,1.0
