val_accuracy,float_val_accuracy,best_val_accuracy,phase,train_accuracy,train_loss,lr,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.42613636363636365,0.42613636363636365,0.42613636363636365,float,0.28024193548387094,2.2808617488030465,0.0001338954645110327,0,1787890702,,False,1,a6cfaa0a,2026-08-27_21-18-22,43.492329120635986,43.492329120635986,2195297,kilby,169.228.33.68,43.492329120635986,1
0.48863636363636365,0.48863636363636365,0.48863636363636365,float,0.4889112903225806,2.0289003099164655,0.00024803455685865105,1,1787890739,,False,2,a6cfaa0a,2026-08-27_21-18-59,36.483062505722046,79.97539162635803,2195297,kilby,169.228.33.68,79.97539162635803,2
0.6306818181818182,0.6306818181818182,0.6306818181818182,float,0.5866935483870968,1.932459812010488,0.00042958037679913133,2,1787890775,,False,3,a6cfaa0a,2026-08-27_21-19-35,35.753233671188354,115.72862529754639,2195297,kilby,169.228.33.68,115.72862529754639,3
0.6079545454545454,0.6079545454545454,0.6306818181818182,float,0.6421370967741935,1.8823322365360875,0.0006661277424267801,3,1787890812,,False,4,a6cfaa0a,2026-08-27_21-20-12,37.594478130340576,153.32310342788696,2195297,kilby,169.228.33.68,153.32310342788696,4
0.5340909090909091,0.5340909090909091,0.6306818181818182,float,0.657258064516129,1.8629939748394875,0.0009415131689481408,4,1787890850,,False,5,a6cfaa0a,2026-08-27_21-20-50,37.44868874549866,190.77179217338562,2195297,kilby,169.228.33.68,190.77179217338562,5
0.6363636363636364,0.6363636363636364,0.6363636363636364,float,0.6834677419354839,1.8546235715189288,0.0012369193334896029,5,1787890887,,False,6,a6cfaa0a,2026-08-27_21-21-27,36.990591287612915,227.76238346099854,2195297,kilby,169.228.33.68,227.76238346099854,6
0.4375,0.4375,0.6363636363636364,float,0.6693548387096774,1.857242068936748,0.0015321608789418636,6,1787890923,,False,7,a6cfaa0a,2026-08-27_21-22-03,35.935277223587036,263.69766068458557,2195297,kilby,169.228.33.68,263.69766068458557,7
0.7102272727272727,0.7102272727272727,0.7102272727272727,float,0.6844758064516129,1.8511326389928018,0.0018070636967594646,7,1787890957,,False,8,a6cfaa0a,2026-08-27_21-22-37,34.42908692359924,298.1267476081848,2195297,kilby,169.228.33.68,298.1267476081848,8
0.6590909090909091,0.6590909090909091,0.7102272727272727,float,0.7358870967741935,1.8304817445816532,0.0020428434411363,8,1787890993,,False,9,a6cfaa0a,2026-08-27_21-23-13,36.08417057991028,334.2109181880951,2195297,kilby,169.228.33.68,334.2109181880951,9
0.7215909090909091,0.7215909090909091,0.7215909090909091,float,0.7318548387096774,1.8253370215815883,0.0022233890794987133,9,1787891031,,False,10,a6cfaa0a,2026-08-27_21-23-51,37.37838935852051,371.5893075466156,2195297,kilby,169.228.33.68,371.5893075466156,10
0.6022727272727273,0.6022727272727273,0.6022727272727273,grid,0.7127016129032258,1.8410726497250218,0.0011837776908112363,10,1787891068,,False,11,a6cfaa0a,2026-08-27_21-24-28,37.62419295310974,409.21350049972534,2195297,kilby,169.228.33.68,409.21350049972534,11
0.7386363636363636,0.7386363636363636,0.7386363636363636,grid,0.7671370967741935,1.8031100726896716,0.0011740593093103535,11,1787891107,,False,12,a6cfaa0a,2026-08-27_21-25-07,38.682050943374634,447.8955514431,2195297,kilby,169.228.33.68,447.8955514431,12
0.7159090909090909,0.7159090909090909,0.7386363636363636,grid,0.8064516129032258,1.7897200180638222,0.0011579803575310658,12,1787891147,,False,13,a6cfaa0a,2026-08-27_21-25-47,40.24225473403931,488.1378061771393,2195297,kilby,169.228.33.68,488.1378061771393,13
0.7102272727272727,0.7102272727272727,0.7386363636363636,grid,0.811491935483871,1.78735952608047,0.0011357169998338042,13,1787891188,,False,14,a6cfaa0a,2026-08-27_21-26-28,40.65807223320007,528.7958784103394,2195297,kilby,169.228.33.68,528.7958784103394,14
0.7102272727272727,0.7102272727272727,0.7386363636363636,grid,0.8215725806451613,1.7776529058333366,0.0011075131582244076,14,1787891228,,False,15,a6cfaa0a,2026-08-27_21-27-08,40.62632727622986,569.4222056865692,2195297,kilby,169.228.33.68,569.4222056865692,15
0.6988636363636364,0.6988636363636364,0.7386363636363636,grid,0.8286290322580645,1.7717556453520251,0.001073677839893581,15,1787891268,,False,16,a6cfaa0a,2026-08-27_21-27-48,39.81785821914673,609.2400639057159,2195297,kilby,169.228.33.68,609.2400639057159,16
0.7329545454545454,0.7329545454545454,0.7386363636363636,grid,0.8296370967741935,1.7726688615737423,0.0010345817516694527,16,1787891308,,False,17,a6cfaa0a,2026-08-27_21-28-28,40.062671184539795,649.3027350902557,2195297,kilby,169.228.33.68,649.3027350902557,17
0.7386363636363636,0.7386363636363636,0.7386363636363636,grid,0.8588709677419355,1.7683186857931075,0.000990653238475989,17,1787891347,,False,18,a6cfaa0a,2026-08-27_21-29-07,39.042906761169434,688.3456418514252,2195297,kilby,169.228.33.68,688.3456418514252,18
0.7556818181818182,0.7556818181818182,0.7556818181818182,grid,0.8629032258064516,1.7597256360515472,0.0009423735902963695,18,1787891385,,False,19,a6cfaa0a,2026-08-27_21-29-45,37.59756326675415,725.9432051181793,2195297,kilby,169.228.33.68,725.9432051181793,19
0.7613636363636364,0.7613636363636364,0.7613636363636364,grid,0.875,1.7583336099501579,0.0008902717690592165,19,1787891420,,False,20,a6cfaa0a,2026-08-27_21-30-20,34.83710741996765,760.780312538147,2195297,kilby,169.228.33.68,760.780312538147,20
0.7784090909090909,0.7784090909090909,0.7784090909090909,grid,0.8780241935483871,1.7557802277226602,0.000834918613221011,20,1787891452,,False,21,a6cfaa0a,2026-08-27_21-30-52,32.40495538711548,793.1852679252625,2195297,kilby,169.228.33.68,793.1852679252625,21
0.7215909090909091,0.7215909090909091,0.7784090909090909,grid,0.8870967741935484,1.7514711099286233,0.0007769205835405087,21,1787891484,,False,22,a6cfaa0a,2026-08-27_21-31-24,32.13512396812439,825.3203918933868,2195297,kilby,169.228.33.68,825.3203918933868,22
0.7613636363636364,0.7613636363636364,0.7784090909090909,grid,0.8840725806451613,1.7499297818829935,0.0007169131185677573,22,1787891514,,False,23,a6cfaa0a,2026-08-27_21-31-54,29.73653793334961,855.0569298267365,2195297,kilby,169.228.33.68,855.0569298267365,23
0.7556818181818182,0.7556818181818182,0.7784090909090909,grid,0.8921370967741935,1.7463414303718074,0.0006555536726463679,23,1787891539,,True,24,a6cfaa0a,2026-08-27_21-32-19,24.782944202423096,879.8398740291595,2195297,kilby,169.228.33.68,879.8398740291595,24
