trial_id,status,val_accuracy,hw_val_accuracy,float_val_accuracy,quant_gap,deployable,weight_clip_frac,min_threshold,feasible,epochs_run,stopped_early,synops_per_sample,neurons,connections,params,depth,channels,kernel_size,stride,downsample_mode,resize_to,T,tau,trainable_tau,trainable_threshold,fc_layers,final_reduction,dropout_rate,norm,tdbn_alpha,optimizer,lr,weight_decay,scheduler,label_smoothing,grad_clip
6cde4aa2,pruned_before_deploy,,,0.6363636363636364,,,,,,8,False,,,,,3,64,5,2,stride,64,16,32,True,False,0,flatten,0.39133499838561614,tdbn,1.133018454894459,adamw,0.000753802679011876,0.0002046743134412945,none,0.10742527510785711,0.0
34f66cf9,pruned_before_deploy,,,0.6477272727272727,,,,,,8,False,,,,,3,32,7,2,stride,64,8,3,False,True,0,flatten,0.31481597076391626,bn,,adam,0.000690268894234798,9.490701980143296e-06,none,0.006515528451256292,1.0
a52e1944,pruned_before_deploy,,,0.5625,,,,,,8,False,,,,,3,64,7,2,stride,64,8,2,False,False,0,flatten,0.39863225654235623,bn,,adam,0.0046868251961370315,4.757641316416909e-05,step,0.16917646560025812,1.0
1e70c307,deployed,,,0.0,,False,,,False,0,False,,,,,3,32,7,2,stride,32,16,3,False,True,1,flatten,0.10062521818689149,bn,,adam,0.00051016776754067,6.174004079942561e-05,onecycle,0.04258374636585205,1.0
05399c25,deployed,,,0.0,,False,,,False,0,False,,,,,3,32,7,2,stride,32,16,3,False,True,1,flatten,0.10402295887478555,bn,,adam,0.0005741796196234601,6.064305876038577e-05,onecycle,0.04671352564276082,1.0
c786d57b,pruned_before_deploy,,,0.6136363636363636,,,,,,8,False,,,,,3,32,5,2,stride,32,8,3,True,True,1,flatten,0.10689112697498106,tdbn,1.9114162470994114,adam,0.0035239328767159984,7.611359444265119e-06,none,0.009538712240833004,0.0
74f0a946,pruned_before_deploy,,,0.5454545454545454,,,,,,8,False,,,,,4,32,5,2,stride,32,16,32,False,True,1,flatten,0.16220110745308497,tdbn,1.3571177760118784,adamw,0.004827658100349368,0.0013200826113587529,none,0.05413258837308648,0.0
c1fa4d8b,pruned_before_deploy,,,0.4602272727272727,,,,,,8,False,,,,,3,64,5,2,stride,32,8,3,True,True,1,flatten,0.37060088241690825,bn,,adam,0.004961367125419128,3.466416870173561e-05,onecycle,0.08943829675469349,5.0
34899f49,pruned_before_deploy,,,0.39204545454545453,,,,,,8,False,,,,,4,64,5,,pool,64,16,4,True,False,0,flatten,0.4257135222160492,bn,,adam,0.0019856125330957935,8.699762563743893e-06,onecycle,0.07459292199031357,5.0
28a17151,pruned_before_deploy,,,0.6420454545454546,,,,,,8,False,,,,,3,32,5,2,stride,64,16,32,False,True,1,flatten,0.10570355196577333,tdbn,0.7234049233607086,adam,0.0011305346231283734,5.5825633177429794e-05,cosine,0.09877108165714667,5.0
